iter	RMSE
870	12.10409577
871	nan
872	nan
873	nan
874	nan
875	nan
876	nan
877	nan
878	nan
879	nan
880	11.98075592
881	nan
882	nan
883	nan
884	nan
885	nan
886	nan
887	nan
888	nan
889	nan
890	11.86695813
891	nan
892	nan
893	nan
894	nan
895	nan
896	nan
897	nan
898	nan
899	nan
900	11.75147752
901	nan
902	nan
903	nan
904	nan
905	nan
906	nan
907	nan
908	nan
909	nan
910	11.65379978
911	nan
912	nan
913	nan
914	nan
915	nan
916	nan
917	nan
918	nan
919	nan
920	11.56200236
921	nan
922	nan
923	nan
924	nan
925	nan
926	nan
927	nan
928	nan
929	nan
930	11.46671768
931	nan
932	nan
933	nan
934	nan
935	nan
936	nan
937	nan
938	nan
939	nan
940	11.35537019
941	nan
942	nan
943	nan
944	nan
945	nan
946	nan
947	nan
948	nan
949	nan
950	11.2513042
951	nan
952	nan
953	nan
954	nan
955	nan
956	nan
957	nan
958	nan
959	nan
960	11.13473285
961	nan
962	nan
963	nan
964	nan
965	nan
966	nan
967	nan
968	nan
969	nan
970	11.03228865
971	nan
972	nan
973	nan
974	nan
975	nan
976	nan
977	nan
978	nan
979	nan
980	10.90600388
981	nan
982	nan
983	nan
984	nan
985	nan
986	nan
987	nan
988	nan
989	nan
990	10.80412515
991	nan
992	nan
993	nan
994	nan
995	nan
996	nan
997	nan
998	nan
999	nan
1000	10.68588173
1001	nan
1002	nan
1003	nan
1004	nan
1005	nan
1006	nan
1007	nan
1008	nan
1009	nan
1010	10.59493515
1011	nan
1012	nan
1013	nan
1014	nan
1015	nan
1016	nan
1017	nan
1018	nan
1019	nan
1020	10.51340509
1021	nan
1022	nan
1023	nan
1024	nan
1025	nan
1026	nan
1027	nan
1028	nan
1029	nan
1030	10.41909718
1031	nan
1032	nan
1033	nan
1034	nan
1035	nan
1036	nan
1037	nan
1038	nan
1039	nan
1040	10.30266941
1041	nan
1042	nan
1043	nan
1044	nan
1045	nan
1046	nan
1047	nan
1048	nan
1049	nan
1050	10.21364073
1051	nan
1052	nan
1053	nan
1054	nan
1055	nan
1056	nan
1057	nan
1058	nan
1059	nan
1060	10.12624409
1061	nan
1062	nan
1063	nan
1064	nan
1065	nan
1066	nan
1067	nan
1068	nan
1069	nan
1070	10.05464735
1071	nan
1072	nan
1073	nan
1074	nan
1075	nan
1076	nan
1077	nan
1078	nan
1079	nan
1080	9.956503954
1081	nan
1082	nan
1083	nan
1084	nan
1085	nan
1086	nan
1087	nan
1088	nan
1089	nan
1090	9.871637953
1091	nan
1092	nan
1093	nan
1094	nan
1095	nan
1096	nan
1097	nan
1098	nan
1099	nan
1100	9.781948861
1101	nan
1102	nan
1103	nan
1104	nan
1105	nan
1106	nan
1107	nan
1108	nan
1109	nan
1110	9.712992883
1111	nan
1112	nan
1113	nan
1114	nan
1115	nan
1116	nan
1117	nan
1118	nan
1119	nan
1120	9.631764886
1121	nan
1122	nan
1123	nan
1124	nan
1125	nan
1126	nan
1127	nan
1128	nan
1129	nan
1130	9.550559298
1131	nan
1132	nan
1133	nan
1134	nan
1135	nan
1136	nan
1137	nan
1138	nan
1139	nan
1140	9.465327097
1141	nan
1142	nan
1143	nan
1144	nan
1145	nan
1146	nan
1147	nan
1148	nan
1149	nan
1150	9.381442665
1151	nan
1152	nan
1153	nan
1154	nan
1155	nan
1156	nan
1157	nan
1158	nan
1159	nan
1160	9.297059898
1161	nan
1162	nan
1163	nan
1164	nan
1165	nan
1166	nan
1167	nan
1168	nan
1169	nan
1170	9.22674618
1171	nan
1172	nan
1173	nan
1174	nan
1175	nan
1176	nan
1177	nan
1178	nan
1179	nan
1180	9.144705719
1181	nan
1182	nan
1183	nan
1184	nan
1185	nan
1186	nan
1187	nan
1188	nan
1189	nan
1190	9.062833172
1191	nan
1192	nan
1193	nan
1194	nan
1195	nan
1196	nan
1197	nan
1198	nan
1199	nan
1200	8.993760086
1201	nan
1202	nan
1203	nan
1204	nan
1205	nan
1206	nan
1207	nan
1208	nan
1209	nan
1210	8.93176284
1211	nan
1212	nan
1213	nan
1214	nan
1215	nan
1216	nan
1217	nan
1218	nan
1219	nan
1220	8.862323538
1221	nan
1222	nan
1223	nan
1224	nan
1225	nan
1226	nan
1227	nan
1228	nan
1229	nan
1230	8.788107932
1231	nan
1232	nan
1233	nan
1234	nan
1235	nan
1236	nan
1237	nan
1238	nan
1239	nan
1240	8.730858255
1241	nan
1242	nan
1243	nan
1244	nan
1245	nan
1246	nan
1247	nan
1248	nan
1249	nan
1250	8.671234531
1251	nan
1252	nan
1253	nan
1254	nan
1255	nan
1256	nan
1257	nan
1258	nan
1259	nan
1260	8.601389241
1261	nan
1262	nan
1263	nan
1264	nan
1265	nan
1266	nan
1267	nan
1268	nan
1269	nan
1270	8.533640821
1271	nan
1272	nan
1273	nan
1274	nan
1275	nan
1276	nan
1277	nan
1278	nan
1279	nan
1280	8.464574241
1281	nan
1282	nan
1283	nan
1284	nan
1285	nan
1286	nan
1287	nan
1288	nan
1289	nan
1290	8.407898461
1291	nan
1292	nan
1293	nan
1294	nan
1295	nan
1296	nan
1297	nan
1298	nan
1299	nan
1300	8.363153452
1301	nan
1302	nan
1303	nan
1304	nan
1305	nan
1306	nan
1307	nan
1308	nan
1309	nan
1310	8.298641617
1311	nan
1312	nan
1313	nan
1314	nan
1315	nan
1316	nan
1317	nan
1318	nan
1319	nan
1320	8.227864169
1321	nan
1322	nan
1323	nan
1324	nan
1325	nan
1326	nan
1327	nan
1328	nan
1329	nan
1330	8.174498079
1331	nan
1332	nan
1333	nan
1334	nan
1335	nan
1336	nan
1337	nan
1338	nan
1339	nan
1340	8.111862465
1341	nan
1342	nan
1343	nan
1344	nan
1345	nan
1346	nan
1347	nan
1348	nan
1349	nan
1350	8.055559902
1351	nan
1352	nan
1353	nan
1354	nan
1355	nan
1356	nan
1357	nan
1358	nan
1359	nan
1360	7.985288388
1361	nan
1362	nan
1363	nan
1364	nan
1365	nan
1366	nan
1367	nan
1368	nan
1369	nan
1370	7.92415313
1371	nan
1372	nan
1373	nan
1374	nan
1375	nan
1376	nan
1377	nan
1378	nan
1379	nan
1380	7.872647766
1381	nan
1382	nan
1383	nan
1384	nan
1385	nan
1386	nan
1387	nan
1388	nan
1389	nan
1390	7.822339303
1391	nan
1392	nan
1393	nan
1394	nan
1395	nan
1396	nan
1397	nan
1398	nan
1399	nan
1400	7.752042964
1401	nan
